Alias,Hostname,Ipaddress
Pop-os1,pop1-os.localdomain1,127.0.1.1
Pop-os2,pop1-os.localdomain2,127.0.1.2
Pop-os3,pop1-os.localdomain3,127.0.1.3
Pop-os4,pop1-os.localdomain4,127.0.1.4
Pop-os5,pop1-os.localdomain5,127.0.1.5
Pop-os6,pop1-os.localdomain6,127.0.1.6
Pop-os7,pop1-os.localdomain7,127.0.1.7
Pop-os8,pop1-os.localdomain8,127.0.1.8
Pop-os9,pop1-os.localdomain9,127.0.1.9
Pop-os10,pop1-os.localdomain10,127.0.1.10
Pop-os11,pop1-os.localdomain11,127.0.1.11
Pop-os12,pop1-os.localdomain12,127.0.1.12
Pop-os13,pop1-os.localdomain13,127.0.1.13
Pop-os14,pop1-os.localdomain14,127.0.1.14
Pop-os15,pop1-os.localdomain15,127.0.1.15
Pop-os16,pop1-os.localdomain16,127.0.1.16
Pop-os17,pop1-os.localdomain17,127.0.1.17
Pop-os18,pop1-os.localdomain18,127.0.1.18
Pop-os19,pop1-os.localdomain19,127.0.1.19
Pop-os20,pop1-os.localdomain20,127.0.1.20
Pop-os21,pop1-os.localdomain21,127.0.1.21
Pop-os22,pop1-os.localdomain22,127.0.1.22
Pop-os23,pop1-os.localdomain23,127.0.1.23
Pop-os24,pop1-os.localdomain24,127.0.1.24
Pop-os25,pop1-os.localdomain25,127.0.1.25
Pop-os26,pop1-os.localdomain26,127.0.1.26
Pop-os27,pop1-os.localdomain27,127.0.1.27
Pop-os28,pop1-os.localdomain28,127.0.1.28
Pop-os29,pop1-os.localdomain29,127.0.1.29
